#{"t_start": 1785568398.6686225, "env_id": "None"}
r,l,t,is_success
332.203845,56,3737.821521,True
316.658372,51,3747.486789,True
345.091577,76,3761.975043,True
301.17785,56,3772.679959,True
327.091661,68,3802.45486,True
302.252877,25,3807.226615,True
315.973396,41,3815.063717,True
328.857747,51,3824.87872,True
292.46894,39,3832.30849,True
285.282099,46,3841.113742,True
315.221345,47,3850.166188,True
346.898994,71,3864.647559,True
322.936794,56,3876.537007,True
319.131474,54,3886.932379,True
292.726866,36,3893.86428,True
323.606356,58,3904.990984,True
290.395757,31,3910.926497,True
343.855463,59,3922.29249,True
329.69701,79,3937.455275,True
320.103306,71,3951.181282,True
320.380388,38,3958.514118,True
318.082148,42,3966.530048,True
333.122841,62,3978.355561,True
291.833729,55,3989.204734,True
300.187282,26,3994.177477,True
313.885983,58,4005.709252,True
322.074702,39,4013.20503,True
309.447655,26,4018.186507,True
330.154906,61,4029.87145,True
307.458149,73,4043.875419,True
299.460912,33,4050.198415,True
324.366939,54,4060.646617,True
314.337095,51,4070.46776,True
299.222273,16,4073.543265,True
298.452295,42,4081.789716,True
295.220678,53,4092.099882,True
307.92943,67,4105.353443,True
315.720557,49,4114.88422,True
325.731252,41,4143.046083,True
329.101607,55,4153.649737,True
290.782077,14,4156.362611,True
339.15757,55,4167.386494,True
297.779273,54,4177.740829,True
272.985557,13,4180.485443,True
326.811643,58,4192.553624,True
312.193851,74,4206.860793,True
326.6006,55,4217.347044,True
41.001135,200,4255.236732,False
315.683536,34,4261.691335,True
315.037992,20,4265.438756,True
308.361938,63,4277.283136,True
274.794452,44,4285.576563,True
311.232157,11,4287.670479,True
305.981899,43,4296.233589,True
306.50009,32,4302.663725,True
295.705792,40,4311.045253,True
303.607625,25,4315.840203,True
323.979855,43,4324.092278,True
323.703158,35,4330.857626,True
299.597976,30,4336.635965,True
285.87268,15,4339.513792,True
320.236893,37,4346.5831,True
326.528289,57,4357.417246,True
298.71556,24,4362.019987,True
296.774218,52,4371.860723,True
328.162456,59,4383.051606,True
320.839664,34,4389.488809,True
314.477268,68,4402.445617,True
326.700603,59,4413.896858,True
315.183708,56,4424.513169,True
335.370134,66,4437.015855,True
291.506072,12,4439.295525,True
323.462077,69,4453.649387,True
307.795283,51,4483.081257,True
335.077496,79,4498.367089,True
337.645037,61,4510.255894,True
326.253534,56,4520.963187,True
342.728284,51,4530.606759,True
316.962476,58,4542.595852,True
293.763358,54,4552.854972,True
329.293277,53,4563.724843,True
303.058071,33,4570.368659,True
316.696236,31,4576.426198,True
304.263154,43,4584.721528,True
21.890301,28,4590.067377,False
317.120509,59,4601.332146,True
343.186939,62,4613.006225,True
51.303517,200,4651.110186,False
314.927541,38,4658.423764,True
306.197303,68,4671.382373,True
346.549115,56,4682.025413,True
335.834139,63,4693.975622,True
332.842721,36,4700.860451,True
297.903613,32,4707.230922,True
316.882071,20,4711.133586,True
278.24934,30,4717.022913,True
300.705715,34,4723.733355,True
293.142109,34,4730.488922,True
320.16107,59,4741.981178,True
307.896664,28,4747.869418,True
333.171664,66,4761.439791,True
323.285069,24,4766.026221,True
286.306461,18,4769.44805,True
324.666642,81,4785.039977,True
297.536414,14,4787.705139,True
325.609413,48,4796.997988,True
328.875423,42,4825.285467,True
334.360642,40,4833.755584,True
307.134256,44,4842.412534,True
287.721781,28,4847.842392,True
-11.29172,200,4887.750034,False
303.758736,33,4894.024896,True
317.192707,49,4903.530412,True
301.965778,21,4907.578228,True
320.328841,33,4913.943828,True
316.129964,62,4925.766941,True
291.272883,17,4929.011798,True
291.285521,16,4932.072023,True
73.54806,200,4971.138513,False
296.417222,54,4982.040177,True
323.08232,61,4994.341872,True
318.443889,55,5004.827731,True
327.952021,47,5013.781731,True
311.792629,41,5021.686325,True
313.733541,59,5032.993496,True
315.190454,49,5042.487314,True
299.649784,24,5047.094053,True
321.752855,53,5057.272409,True
327.001769,97,5076.851424,True
326.231858,66,5090.706016,True
323.911371,34,5097.338337,True
340.289315,50,5107.699107,True
329.599688,53,5117.88627,True
310.294109,34,5124.379518,True
324.159038,40,5132.705348,True
318.452052,40,5140.8747,True
305.640929,61,5168.246701,True
