episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
28,30028,30028,30028,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,96.71775816897795,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,188,0,0.94,0.3426449467872615,-0.22208369884183576,-2.97473890628817,0.02152347789081758,0.03017878128348301,0.07508979485641742,0.8876509012852816,1.056742942418855,0.3784065976154669,0.2156702382895745,1.10722208198118,1.0113259176979716,1.0716627070892235,-10.687803266863638
29,30029,30029,30029,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,239.07977501169148,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,159,0,0.795,0.345052860144334,-0.3429878582199052,2.7394703513963785,0.026183483283536944,0.030445733273975865,0.04113164542935267,1.8401877693420214,0.9070404429328143,0.30630645953188573,0.4677323249015436,1.0202403978399697,0.9937726842868144,1.1527196901675887,-8.791838149262437
30,30030,30030,30030,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,26,376.3624888474345,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,15,0,0.5769230769230769,0.31424133555613487,-0.6186152747012474,-0.22745372456710067,0.025038843170151533,0.03272400495108448,0.03611508724753288,1.9611106005041061,1.2236441705727068,0.3727661625219509,0.5268969538338265,1.0375028316159687,1.0534039812115414,1.0506805074711882,-15.667054362923741
31,30031,30031,30031,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,295.599186253586,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,190,0,0.95,0.3886783204097237,-0.5199534457895454,-3.088032693846051,0.023796057336702828,0.0401079783081198,0.06372577963116804,1.2494503628369478,1.0682455571265161,0.3401053502091004,0.25726495477433853,1.0159628643937209,1.0314678178826142,1.0661862412907503,-6.24766319520656
32,30032,30032,30032,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,283.81548553508185,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,1,188,0,0.94,0.3109194219146833,-0.5098951110348116,1.3983970367872978,0.02252987783411197,0.03015587763546867,0.053792294806806654,0.9664196274935456,0.9440838954639138,0.3627523206545806,0.5354805235277551,1.1056325750385343,0.9736466761028192,0.9985571638151477,-10.204706840933772
33,30033,30033,30033,6a22834,ckpt_sac_full_00349944,0,0,0,unsafe,41,338.6928477471741,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,29,0,0.7073170731707317,0.33675387667765466,-0.6068438957370691,-1.9723717017792413,0.027316237857846426,0.03171436758596529,0.04157607890502278,1.2214955310589148,0.907768281964596,0.3876745904265989,0.35586801524223305,0.9630347869641839,0.9853494233558404,1.1233499399727171,-41.15721072671067
34,30034,30034,30034,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,176.36227377429444,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,8,177,0,0.885,0.34324194759495535,-0.3806597009960882,-2.3430685617740865,0.025105715058555883,0.038641497083794864,0.09939093383762936,1.200936345496191,1.1067957661023167,0.36944543949467124,0.18575105516794757,1.0402444122764785,0.9410048441350941,0.9743613625572746,-14.404548930165117
35,30035,30035,30035,6a22834,ckpt_sac_full_00349944,1,0,0,success,81,44.01368910270793,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,62,0,0.7654320987654321,0.33465849459653035,-0.28208836563186784,-1.8235472949120335,0.025553668180716665,0.03565467611479952,0.07153530729768007,1.5312907423048703,0.7661406230496715,0.31059395990078903,0.32187687167326967,1.0480106535525182,0.9319514005328734,0.9587237762900063,201.9674473369726
36,30036,30036,30036,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,454.93767240193546,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,180,0,0.9,0.339697035922645,-0.5849942395647458,2.6540641562113185,0.025061487371497725,0.034427686701304895,0.04975979143277712,0.8725341274818453,0.7896571794940836,0.3887415609798907,0.6553859159862312,1.0245269789438916,0.959780072204811,1.2699163995058498,2.6264118656039765
37,30037,30037,30037,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,322.98619266677406,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,177,0,0.885,0.33323244401903834,-0.44134733018359923,-1.8279151557001723,0.021032299662868837,0.03034188769640651,0.11027546262947634,1.1860915342176068,0.9912613478721426,0.3882335859022621,0.46494802811437536,1.0617511111681457,1.0053100422532864,1.306996522795235,-0.7340999151629477
38,30038,30038,30038,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,162.4905896509604,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,182,0,0.91,0.38597109041153427,-0.20027048297937267,-0.6434354887304128,0.02305423274605303,0.03427041448579174,0.08433772499988537,1.2450207109224798,1.1529922982809997,0.36894788255818567,0.3123815475370987,1.0090916268554027,1.0736506506718126,0.9154334229225789,-5.859505840640369
39,30039,30039,30039,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,306.0819926294136,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,183,0,0.915,0.3741605329736079,-0.4893386541240778,1.8436856338628775,0.022974084509752402,0.031099714331381013,0.08236646601359315,1.660440573471595,1.2670189605170683,0.31633187764726856,0.5047497547957464,0.9855224128362828,1.075322061078603,0.9928325271943252,19.702999922941693
40,30040,30040,30040,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,308.1340314703818,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,173,0,0.865,0.3422951649967247,-0.2181711461964002,-2.7196226329788504,0.02213186136269832,0.037938633242730786,0.10778293657856822,1.9155416432485752,1.2433706666595616,0.3679431032032473,0.5523409987032271,1.0127866518898645,0.9722517397624514,0.9854544051175886,-3.3273558068563185
41,30041,30041,30041,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,300.60345254000094,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,191,0,0.955,0.3484298572086885,-0.6787643698342627,-3.0679735294931803,0.02053961267453676,0.029872762569650997,0.04575287027072402,1.1694747251340913,1.0576521326493225,0.31435203827760094,0.21445668845045063,0.9030813147715865,1.027125032489245,1.2990985031925741,0.596933683730253
42,30042,30042,30042,6a22834,ckpt_sac_full_00349944,0,1,0,object_lost,119,471.7536175926511,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,105,0,0.8823529411764706,0.33968182814766956,-0.32147598343396044,-2.4672467293715337,0.025755173985363457,0.03037943467219143,0.06821087233663131,1.5517809974391756,0.7478256601001967,0.311520033539127,0.27258496497150225,1.0017126878296592,1.0077107993977765,1.0072164474693184,-206.28157927923837
43,30043,30043,30043,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,30,323.8333033732159,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,20,0,0.6666666666666666,0.31757107718328936,-0.5360691538204865,1.801667047545143,0.02248633647414338,0.03525992218236197,0.06773690359362097,1.6743380742403162,1.1288271802945582,0.3390176039383866,0.48516648832797815,1.0202494131054938,0.9555517415956302,0.8677343696081287,-15.580484468005466
44,30044,30044,30044,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,192.46077621499376,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,186,0,0.93,0.38034561451662136,-0.28002734919538314,1.19996551760054,0.02443860211221316,0.031557487783260854,0.032042160176714636,1.3296805523888446,0.8249253427648057,0.3403515766866716,0.2974369098402631,1.0211399230559657,1.0208336347883131,1.1781046723758097,-5.807604058852936
45,30045,30045,30045,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,447.6220532703189,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,103,0,0.515,0.31465823955316213,-0.647639721661075,1.9995167559770133,0.02729828481372948,0.03078620478424611,0.05555055958815361,0.9634514839493432,0.6041370690005367,0.34359583544012934,0.7185457416757511,1.0202875713634103,1.0164527657022,0.9514229234593307,-10.889209072696987
